,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
108,2014-04-19T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2014-04-19T00:00:01.0000000Z,2014-04-19T23:57:52.0000000Z,482.1,525.28225,472.81,503.8,10279.7023856,9678
109,2014-04-20T00:00:00.0000000Z,2014-04-21T00:00:00.0000000Z,2014-04-20T00:04:20.0000000Z,2014-04-20T23:59:45.0000000Z,505.18,516.53,493.0,500.0,5800.12075222,6334
110,2014-04-21T00:00:00.0000000Z,2014-04-22T00:00:00.0000000Z,2014-04-21T00:01:56.0000000Z,2014-04-21T23:58:53.0000000Z,501.07,517.31024,485.0,496.74,8394.38945511,7495
111,2014-04-22T00:00:00.0000000Z,2014-04-23T00:00:00.0000000Z,2014-04-22T00:00:05.0000000Z,2014-04-22T23:59:56.0000000Z,497.98,510.49,484.62239,490.0,8528.95515737,8480
112,2014-04-23T00:00:00.0000000Z,2014-04-24T00:00:00.0000000Z,2014-04-23T00:00:11.0000000Z,2014-04-23T23:55:44.0000000Z,490.0,497.73461,484.61,492.0,5703.03088894,5018
113,2014-04-24T00:00:00.0000000Z,2014-04-25T00:00:00.0000000Z,2014-04-24T00:03:03.0000000Z,2014-04-24T23:59:52.0000000Z,491.94,505.0,480.0,502.2,7956.36194131,6148
114,2014-04-25T00:00:00.0000000Z,2014-04-26T00:00:00.0000000Z,2014-04-25T00:00:03.0000000Z,2014-04-25T23:59:50.0000000Z,502.15,503.99,438.05,466.52,33376.69460973,24805
115,2014-04-26T00:00:00.0000000Z,2014-04-27T00:00:00.0000000Z,2014-04-26T00:00:13.0000000Z,2014-04-26T23:59:45.0000000Z,466.71,472.13557,451.07,459.0,8814.9656733,8823
116,2014-04-27T00:00:00.0000000Z,2014-04-28T00:00:00.0000000Z,2014-04-27T00:00:02.0000000Z,2014-04-27T23:59:59.0000000Z,459.22,463.6817,429.95,430.0,9316.09806117,5394
117,2014-04-28T00:00:00.0000000Z,2014-04-29T00:00:00.0000000Z,2014-04-28T00:00:00.0000000Z,2014-04-28T23:58:08.0000000Z,430.0,455.0942,424.0,442.9,17996.71137202,10613
118,2014-04-29T00:00:00.0000000Z,2014-04-30T00:00:00.0000000Z,2014-04-29T00:01:06.0000000Z,2014-04-29T23:57:17.0000000Z,440.41,454.62328,432.02,448.0,13851.94609361,12256
119,2014-04-30T00:00:00.0000000Z,2014-05-01T00:00:00.0000000Z,2014-04-30T00:02:42.0000000Z,2014-04-30T23:57:06.0000000Z,448.0,453.99,433.08,448.85,10766.42248112,10486
120,2014-05-01T00:00:00.0000000Z,2014-05-02T00:00:00.0000000Z,2014-05-01T00:00:32.0000000Z,2014-05-01T23:59:41.0000000Z,449.0,465.88,447.97,460.97,9540.07266515,9538
121,2014-05-02T00:00:00.0000000Z,2014-05-03T00:00:00.0000000Z,2014-05-02T00:00:11.0000000Z,2014-05-02T23:57:28.0000000Z,460.97,462.99,444.51,454.5,8276.96726212,8363
122,2014-05-03T00:00:00.0000000Z,2014-05-04T00:00:00.0000000Z,2014-05-03T00:01:30.0000000Z,2014-05-03T23:59:59.0000000Z,452.0,454.5,431.0,439.0,7440.13002067,5527
123,2014-05-04T00:00:00.0000000Z,2014-05-05T00:00:00.0000000Z,2014-05-04T00:00:13.0000000Z,2014-05-04T23:59:52.0000000Z,439.0,445.40401,429.55,438.04,5156.17948511,4501
